============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.14-s082_1
  Generated on:           May 20 2023  06:21:47 am
  Module:                 sdc300_chip
  Operating conditions:   ssg_cworst_max_0p99v_125c (balanced_tree)
  Operating conditions:   ssg_cworst_max_0p99v_m40c (balanced_tree)
  Wireload mode:          top
  Area mode:              timing library
============================================================

                                                                         Leakage                                                                          Library 
                     Gate                      Instances      Area      Power (nW)                                 Library                                 Domain 
------------------------------------------------------------------------------------------------------------------------------------------------------------------
ADDFCIN_X1M_A7TEHULP_C50                              33       147.470       6.550    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDFCIN_X1M_A7TSULP_C50                               12        53.626      20.889    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDFH_X1M_A7TEHULP_C50                              1648      7364.582     312.578    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDFH_X1M_A7TSULP_C50                                146       652.445     245.736    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDFH_X1P4M_A7TEHULP_C50                               7        33.888       1.477    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDFH_X1P4M_A7TSULP_C50                               32       154.918      57.994    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDFH_X2M_A7TEHULP_C50                               193       934.352      42.383    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDFH_X2M_A7TSULP_C50                                  7        33.888      13.234    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDF_X1M_A7TEHULP_C50                              76428    227694.298    6931.690    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDF_X1M_A7TSULP_C50                                 131       390.275     104.488    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDF_X1P4M_A7TEHULP_C50                              138       462.521      15.696    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDF_X1P4M_A7TSULP_C50                                 4        13.406       3.572    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDF_X2M_A7TEHULP_C50                                 16        53.626       1.856    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDH_X1M_A7TEHULP_C50                               1524      2837.688     109.641    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDH_X1M_A7TSULP_C50                                 172       320.264     103.276    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDH_X1P4M_A7TEHULP_C50                               19        42.454       1.864    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDH_X1P4M_A7TSULP_C50                                 1         2.234       0.756    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
ADDH_X2M_A7TEHULP_C50                                  4         8.938       0.432    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
ADDH_X2M_A7TSULP_C50                                   1         2.234       0.854    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X11B_A7TEHULP_C50                                 8        29.792       1.902    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X11M_A7TEHULP_C50                                 1         4.841       0.244    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X1B_A7TEHULP_C50                              20368     15170.086     521.647    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X1B_A7TSULP_C50                                  72        53.626      12.059    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X1M_A7TEHULP_C50                                479       356.759      12.795    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X1M_A7TSULP_C50                                  30        22.344       6.017    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X1P4B_A7TEHULP_C50                              279       259.749      10.635    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X1P4B_A7TSULP_C50                                17        15.827       4.040    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X1P4M_A7TEHULP_C50                              887       825.797      36.934    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X1P4M_A7TSULP_C50                                 2         1.862       0.602    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X2B_A7TEHULP_C50                                472       439.432      21.789    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X2B_A7TSULP_C50                                   2         1.862       0.631    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X2M_A7TEHULP_C50                                110       102.410       5.387    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X2M_A7TSULP_C50                                   5         4.655       1.364    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X3B_A7TEHULP_C50                                 72        80.438       4.949    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X3B_A7TSULP_C50                                   3         3.352       1.338    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X3M_A7TEHULP_C50                                109       162.366       8.161    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X3M_A7TSULP_C50                                   9        13.406       4.680    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X4B_A7TEHULP_C50                                 11        18.434       1.018    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X4B_A7TSULP_C50                                   4         6.703       2.503    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X4M_A7TEHULP_C50                                 28        46.922       2.658    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X4M_A7TSULP_C50                                   1         1.676       0.419    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X6B_A7TEHULP_C50                                 38        77.832       4.900    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X6B_A7TSULP_C50                                   5        10.241       4.241    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X6M_A7TEHULP_C50                                  8        22.344       1.169    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X8B_A7TEHULP_C50                                 12        33.516       2.116    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND2_X8B_A7TSULP_C50                                   1         2.793       1.077    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND2_X8M_A7TEHULP_C50                                  1         3.538       0.170    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X11M_A7TEHULP_C50                                 1         6.145       0.225    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X1M_A7TEHULP_C50                                761       708.491      28.563    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X1M_A7TSULP_C50                                   3         2.793       0.474    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND3_X1P4M_A7TEHULP_C50                               75        83.790       3.206    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X1P4M_A7TSULP_C50                                 4         4.469       0.929    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND3_X2M_A7TEHULP_C50                                 10        11.172       0.493    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X3M_A7TEHULP_C50                                 12        22.344       1.226    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND3_X3M_A7TSULP_C50                                   1         1.862       0.315    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X1M_A7TEHULP_C50                                605       675.906      36.753    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X1M_A7TSULP_C50                                  12        13.406       3.158    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X1P4M_A7TEHULP_C50                                6         7.820       0.248    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X2M_A7TEHULP_C50                                  6         7.820       0.354    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X2M_A7TSULP_C50                                   2         2.607       0.710    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X3M_A7TEHULP_C50                                  6        14.524       0.730    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X3M_A7TSULP_C50                                   6        14.524       2.554    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X4M_A7TEHULP_C50                                  3         7.820       0.376    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
AND4_X4M_A7TSULP_C50                                   3         7.820       1.559    sc7mc_cln40ulp_base_svtulp_c50_ssg_cworst_max_0p99v_125c                  0 
AND4_X6M_A7TEHULP_C50                                  2         8.938       0.301    sc7mc_cln40ulp_base_ehvtulp_c50_ssg_cworst_max_0p99v_125c                 0 
